,entryId,content,date,entryUrl,type,favoriteCount,issueTitle,issueUrl,authorId,authorName,authorUrl,authorAvatar
652,80988810.0,"bunun çözümü milliyetçilik değil. bunun çözümü şu, benim yaptığım işin aynısını diğer ülkedeki insan yapıyorsa hatta belki daha az çalışma saati ve daha iyi koşullar ile, benden üç beş kat daha fazla maaş alıp, onu dilediğince yiyebiliyorsa; gıdadır, giyimdir, eğlencedir... ben buraya giderim. yeni jenerasyon bireyci yetişti. o insanı mutlu etmekle görevli olmalısın. avrupa'daki sağ yükselişi falan da yaşlıların oyu sayesinde çünkü genç nüfus yoğun değil. ayrıca son mülteci kaynaklı gelişmeler buna ön ayak oldu. avrupa insanı, birleşik devletler insanı çok mu milliyetçi sanıyorsunuz? devleti herkesin, her azınlığın hakkını gözetiyor. cinsiyet eşitliği konusunda önlemler alıyor. böyle bir yerde iş çıkışı akşamı iki bira içmeye bile gidemiyorsam, doğruca eve gidiyorsam, bu ülkede neden kalmak zorunda olayım ki?",2018-09-05 16:10:00,https:/www.eksisozluk.com/entry/80988810,entry,2.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1867913.0,cam boyasi,https:/www.eksisozluk.com/biri/cam-boyasi,https://ekstat.com/img/default-profile-picture-light.svg
653,80990074.0,ülkesinin üniversite mezunu kesimini her fırsatta vatan haini ilan edenler götlerine kına yaksın.,2018-09-05 16:53:00,https:/www.eksisozluk.com/entry/80990074,entry,10.0,aselsan sagem ve tai'den mühendis göçü,https:/www.eksisozluk.com/aselsan-sagem-ve-taiden-muhendis-gocu--5896342,1283022.0,o degil de neyse,https:/www.eksisozluk.com/biri/o-degil-de-neyse,https://ekstat.com/img/default-profile-picture-light.svg
654,167991124.0,"van'da bir okul il içi , il dışı ya da atanacak öğretmenler tercih yaparken bir hayrım olsun diye yazıyorum . yazma böyle bir müdür yok. sakın ama sakın yazmaaaaaaa",02.09.2024 18:41 ~ 28.12.2024 14:53,https:/www.eksisozluk.com/entry/167991124,entry,0.0,aselsan ilkokulu,https:/www.eksisozluk.com/aselsan-ilkokulu--7872816,1944967.0,dokuz ve sekiz,https:/www.eksisozluk.com/biri/dokuz-ve-sekiz,https://ekstat.com/img/default-profile-picture-light.svg
655,,edit . o kadar kötü değil denize girer gibi düşün alışıyorsun,,,,,,,,,,
656,81117657.0,yıllık 2 milyar dolarlık ithalatın önüne geçecek müthiş projedir.,2018-09-09 15:24:00,https:/www.eksisozluk.com/entry/81117657,entry,258.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1595893.0,nikimi mikimi sorma,https:/www.eksisozluk.com/biri/nikimi-mikimi-sorma,https://ekstat.com/img/default-profile-picture-light.svg
658,,"aselsan, dışa bağımlılığın yüzde 85 olduğu ve yılda 2 milyar dolar ithalata yol açan medikal cihaz ve bileşenleri için yerli ve milli çözümler geliştiriyor.",,,,,,,,,,
659,81117988.0,''biz bişey yapamayız yeaa'' diyenlere kapak gibi cevaptır.,09.09.2018 15:37 ~ 15:38,https:/www.eksisozluk.com/entry/81117988,entry,104.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1526830.0,aprio,https:/www.eksisozluk.com/biri/aprio,https://ekstat.com/img/default-profile-picture-light.svg
661,,"laf üretmek yerine düşünüp, çalışanların yaptığı cihazdır. helal olsundur.",,,,,,,,,,
662,81118149.0,"gurur verici, enerjimizi böyle şeyler için harcayalım.",09.09.2018 15:44 ~ 15:52,https:/www.eksisozluk.com/entry/81118149,entry,344.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1234493.0,meksika post,https:/www.eksisozluk.com/biri/meksika-post,https://img.ekstat.com/profiles/meksika-post-638705062071683832.jpg
664,,kanal istanbul için harcanacak parayı da böyle amortisi daha kısa vadeli ar-ge’ye yatıralım mesela,,,,,,,,,,
